Car Model,Country,City,Price,QuantitySold,Sale,DateOfSale,CustomerID,CustomerName,Age,Gender,CarMake,CarModel,Year,CarType,PaymentMethod,SalespersonID,SalespersonName,DealershipLocation,Profit
Chevrolet Malibu,USA,New York,48373,1,48373,2024-11-01,CUST00014,Jacqueline Miller,33,Female,Chevrolet,Chevrolet Malibu,2002,Truck,Bank Transfer,SP053,David Reynolds,"New Shawnberg, Yemen",3198
Honda Civic,India,Mumbai,72203,10,722030,2024-11-02,CUST00015,Christopher Pena,30,Non-binary,BMW,Hyundai Elantra,2021,Convertible,Cash,SP041,Danielle Jordan,"Coleshire, Argentina",13506
Ford Focus,UK,Glasgow,25215,2,50430,2024-11-03,CUST00016,Amy White,40,Male,BMW,Kia Optima,2008,Hatchback,Cash,SP092,Adam Lee,"Port Jenniferville, Iceland",8060
Audi A4,Australia,Perth,10810,6,64860,2024-11-04,CUST00017,Mr. Garrett Carter Jr.,47,Male,Nissan,Kia Optima,2002,Coupe,Bank Transfer,SP021,Michael Soto,"West Tammy, United Kingdom",5885
Hyundai Elantra,Canada,Calgary,29440,4,117760,2024-11-05,CUST00018,Aaron Garcia,41,Male,Chevrolet,Hyundai Elantra,2022,Hatchback,Cash,SP058,James Rich,"Halltown, Tonga",12655
Honda Civic,Japan,Osaka,73318,8,586544,2024-11-06,CUST00019,Natasha Graham,26,Non-binary,BMW,Chevrolet Malibu,2000,SUV,Credit Card,SP059,Rebecca Rivera,"Geraldberg, Macedonia",13790
Honda Civic,UK,Leeds,44764,2,89528,2024-11-07,CUST00020,John Bradley,69,Female,Audi,BMW 3 Series,2012,Sedan,Credit Card,SP068,Amber Roth,"New Johnstad, Israel",13340
Mercedes C-Class,India,Mumbai,78662,7,550634,2024-11-08,CUST00021,Luke Silva,64,Non-binary,Mercedes,Nissan Altima,2012,Minivan,Cash,SP020,Thomas Frye,"East Sergio, Turkey",3974
Mercedes C-Class,Germany,Berlin,23258,10,232580,2024-11-09,CUST00022,Wanda Norman,28,Non-binary,Mercedes,Hyundai Elantra,2006,Convertible,Bank Transfer,SP051,Tiffany Love,"Joyview, Ghana",12183
Nissan Altima,Canada,Montreal,19929,1,19929,2024-11-10,CUST00023,Danny Williams,35,Male,Chevrolet,Audi A4,2005,Minivan,Credit Card,SP004,Jennifer Williams,"Barneston, Sri Lanka",9714
Kia Optima,China,Shanghai,75017,8,600136,2024-11-11,CUST00024,Carolyn Cook,61,Male,Ford,Audi A4,2012,Minivan,Cash,SP067,Sean Anderson,"Christopherside, French Southern Territories",821
Mercedes C-Class,Italy,Naples,21050,6,126300,2024-11-12,CUST00025,Julia Johnston,19,Male,Mercedes,Hyundai Elantra,2016,Convertible,Cash,SP064,Jordan Levine,"South Seanborough, Rwanda",14107
Honda Civic,Australia,Perth,29581,10,295810,2024-11-13,CUST00026,Heather Rios,68,Non-binary,Audi,Ford Focus,2008,Convertible,Cash,SP018,Stephanie Sims,"West Bruce, United States of America",3815
BMW 3 Series,Japan,Tokyo,33614,9,302526,2024-11-14,CUST00027,William Wilson,58,Non-binary,Hyundai,Mercedes C-Class,2009,Minivan,Credit Card,SP034,Timothy Lee,"Kevinbury, Congo",4439
Ford Focus,UK,Manchester,49400,9,444600,2024-11-15,CUST00028,Kyle Nguyen,58,Male,Nissan,Chevrolet Malibu,2005,Coupe,Credit Card,SP024,John Malone,"Warrenmouth, Dominican Republic",678
Nissan Altima,Australia,Perth,78622,4,314488,2024-11-16,CUST00029,Adam Hunter,58,Non-binary,Kia,Hyundai Elantra,2012,Truck,Cash,SP072,Dennis Vargas,"North Claudiaborough, Comoros",9506
BMW 3 Series,USA,Chicago,48655,6,291930,2024-11-17,CUST00030,Amy Russo,61,Non-binary,Kia,Ford Focus,2005,Minivan,Bank Transfer,SP045,Monique Hall,"Gilesshire, Holy See (Vatican City State)",9219
Hyundai Elantra,Italy,Milan,42478,3,127434,2024-11-18,CUST00031,Wesley Knapp,48,Male,Nissan,Kia Optima,2021,Hatchback,Bank Transfer,SP095,Lisa Schultz,"Tylerstad, Vietnam",7537
Nissan Altima,UK,Manchester,53573,3,160719,2024-11-19,CUST00032,Pamela Kim,72,Non-binary,Toyota,Ford Focus,2018,Sedan,Lease,SP065,Melvin Barnett,"New Alexis, Kiribati",4191
Hyundai Elantra,UK,Manchester,39539,6,237234,2024-11-20,CUST00033,Christopher Brown,74,Female,Ford,Audi A4,2021,Convertible,Credit Card,SP027,Claire Harper,"Levyfort, Swaziland",12936
BMW 3 Series,Germany,Berlin,92400,5,462000,2024-11-21,CUST00034,Donald Williams,52,Non-binary,Audi,Chevrolet Malibu,2019,Sedan,Cash,SP018,Angel Bruce MD,"Johnbury, Haiti",7032
Audi A4,USA,Houston,50033,3,150099,2024-11-22,CUST00035,Gary Cunningham,49,Male,BMW,Toyota Corolla,2007,SUV,Lease,SP091,William Novak,"North Brandi, Austria",2328
Nissan Altima,Canada,Montreal,28643,3,85929,2024-11-23,CUST00036,Kevin Fisher,27,Non-binary,Kia,Nissan Altima,2003,Minivan,Cash,SP050,Taylor Moore,"Port Nathanielchester, Thailand",3969
Kia Optima,USA,New York,67349,2,134698,2024-11-24,CUST00037,Jesse Walker,20,Male,Toyota,Audi A4,2014,Sedan,Lease,SP085,Erica Johnson,"South Laura, Holy See (Vatican City State)",12319
Hyundai Elantra,Italy,Turin,83704,4,334816,2024-11-25,CUST00038,Mrs. Julie Chandler,36,Non-binary,Mercedes,Toyota Corolla,2022,Truck,Lease,SP073,Latasha Davis,"New Lauraborough, Cameroon",14662
Mercedes C-Class,France,Toulouse,77561,5,387805,2024-11-26,CUST00039,Cynthia Chavez,31,Female,Hyundai,Mercedes C-Class,2016,Truck,Lease,SP056,Amy Horton,"New Caroline, Guadeloupe",5982
Audi A4,Italy,Palermo,72631,10,726310,2024-11-27,CUST00040,Eric Mathews,75,Non-binary,Hyundai,Chevrolet Malibu,2009,Sedan,Lease,SP023,Abigail Brown,"East Matthew, Azerbaijan",10890
Honda Civic,China,Chongqing,43773,3,131319,2024-11-28,CUST00041,Christina Lester,52,Female,Toyota,Ford Focus,2005,Hatchback,Bank Transfer,SP049,Rebecca Wang,"Phillipsmouth, Zimbabwe",6581
Toyota Corolla,Germany,Munich,10819,3,32457,2024-11-29,CUST00042,Lindsay Reed,65,Male,Hyundai,Ford Focus,2020,SUV,Credit Card,SP009,Aaron Howell,"Port Lisa, Mongolia",9587
Toyota Corolla,Canada,Ottawa,81442,3,244326,2024-11-30,CUST00043,Laura Powell,69,Male,Kia,Hyundai Elantra,2016,Sedan,Bank Transfer,SP074,Robert Foster,"Pattersonmouth, Argentina",3368
Hyundai Elantra,USA,Chicago,32220,6,193320,2024-12-01,CUST00044,Dana Turner,22,Non-binary,Kia,Chevrolet Malibu,2015,Hatchback,Credit Card,SP005,Brianna Bryant,"New Tammymouth, British Virgin Islands",12546
Hyundai Elantra,Japan,Tokyo,30336,2,60672,2024-12-02,CUST00045,Andrew Lopez,75,Male,Mercedes,Kia Optima,2007,Convertible,Lease,SP077,Kelly Ortega,"Brownburgh, Panama",5536
Honda Civic,Australia,Melbourne,33478,4,133912,2024-12-03,CUST00046,Phillip Kennedy,24,Female,Toyota,Hyundai Elantra,2000,Minivan,Credit Card,SP028,Evelyn Norman,"Natalieshire, Argentina",2708
Nissan Altima,Japan,Nagoya,24628,3,73884,2024-12-04,CUST00047,Carl Willis,52,Female,Toyota,Mercedes C-Class,2003,Coupe,Lease,SP052,Thomas Rice,"Lake Emilytown, United States Minor Outlying Islands",3472
Ford Focus,India,Mumbai,84227,5,421135,2024-12-05,CUST00048,Tiffany Jones,33,Female,BMW,Toyota Corolla,2001,Sedan,Bank Transfer,SP003,Gina Jones,"Williamschester, Malawi",11649
Toyota Corolla,India,Chennai,27143,5,135715,2024-12-06,CUST00049,Anthony Moreno,71,Male,Toyota,Kia Optima,2014,Truck,Bank Transfer,SP080,Dr. Robert Peck DDS,"New Danielleside, Equatorial Guinea",2799
Audi A4,India,Bangalore,55847,6,335082,2024-12-07,CUST00050,Larry Webb,44,Female,Chevrolet,Ford Focus,2018,Sedan,Lease,SP004,Jessica Jones,"Lake Christophermouth, Bolivia",12568
Hyundai Elantra,USA,Houston,93526,8,748208,2024-12-08,CUST00051,Brianna Brown,41,Non-binary,Chevrolet,Audi A4,2005,Minivan,Cash,SP096,Miss Catherine Mckay,"Melissaport, French Southern Territories",11912
Nissan Altima,China,Shenzhen,67191,4,268764,2024-12-09,CUST00052,Cheryl Rogers,18,Non-binary,Mercedes,Toyota Corolla,2012,Hatchback,Lease,SP077,Lucas Silva,"South Manuel, Chad",7329
Nissan Altima,Germany,Munich,13683,9,123147,2024-12-10,CUST00053,Heather Rogers DVM,56,Non-binary,Honda,Mercedes C-Class,2009,SUV,Lease,SP036,Courtney Lucero,"Port Sarah, Bosnia and Herzegovina",5082
Chevrolet Malibu,India,Bangalore,59883,10,598830,2024-12-11,CUST00054,Warren Martin,47,Male,Honda,Kia Optima,2006,Sedan,Lease,SP048,Laura Tucker,"East Johnland, Falkland Islands (Malvinas)",2212
BMW 3 Series,USA,Los Angeles,20420,2,40840,2024-12-12,CUST00055,Jimmy Pearson,67,Non-binary,BMW,Honda Civic,2017,Hatchback,Cash,SP060,Jonathan Stone,"New Laurachester, Bolivia",10520
Kia Optima,Japan,Tokyo,14671,7,102697,2024-12-13,CUST00056,Andrea Phillips,71,Male,Kia,Toyota Corolla,2013,Sedan,Bank Transfer,SP012,Brianna Hawkins,"Port Ann, Denmark",12928
Audi A4,India,Chennai,21882,5,109410,2024-12-14,CUST00057,Stacy Oliver,51,Non-binary,Ford,Nissan Altima,2001,Sedan,Cash,SP026,Laura Chen,"East Jamie, Indonesia",7732
Toyota Corolla,France,Toulouse,93985,1,93985,2024-12-15,CUST00058,Nathan Warren,73,Male,Hyundai,Nissan Altima,2013,Minivan,Credit Card,SP068,Tracy Gray,"Port Aaronbury, Sao Tome and Principe",10726
Hyundai Elantra,France,Toulouse,13850,5,69250,2024-12-16,CUST00059,Teresa Pace,65,Female,Chevrolet,Toyota Corolla,2016,Truck,Lease,SP055,Sherri Butler,"New David, United Arab Emirates",13515
Nissan Altima,Canada,Toronto,25403,1,25403,2024-12-17,CUST00060,Bruce Morrison,57,Non-binary,Audi,Ford Focus,2015,Sedan,Lease,SP073,Rachel Nash,"Donaldhaven, Maldives",784
Kia Optima,India,Chennai,64838,6,389028,2024-12-18,CUST00061,David Duffy,49,Female,Hyundai,Chevrolet Malibu,2005,Minivan,Lease,SP093,Mrs. Raven Mcdonald,"Russellmouth, Guatemala",2533
Kia Optima,France,Lyon,79270,1,79270,2024-12-19,CUST00062,Diane Walker,19,Female,Nissan,Nissan Altima,2006,Truck,Cash,SP093,Joseph Taylor,"Robinberg, Liberia",7075
Honda Civic,Japan,Tokyo,72775,7,509425,2024-12-20,CUST00063,Brent Li,35,Female,Audi,Kia Optima,2005,Hatchback,Bank Transfer,SP010,Daniel Fowler,"Lake Amandaside, United States Virgin Islands",2542
Chevrolet Malibu,UK,Glasgow,64279,10,642790,2024-12-21,CUST00064,Monica Rodriguez,62,Male,Audi,Ford Focus,2006,Convertible,Bank Transfer,SP032,Benjamin Vasquez,"Tylershire, Bahamas",770
BMW 3 Series,France,Paris,24351,5,121755,2024-12-22,CUST00065,Robert Moore,65,Non-binary,Mercedes,Nissan Altima,2011,Sedan,Cash,SP042,Jesus Maynard,"East Collin, Guadeloupe",9053
Kia Optima,Germany,Munich,32672,2,65344,2024-12-23,CUST00066,Philip Miller,55,Non-binary,Kia,Hyundai Elantra,2020,Sedan,Cash,SP090,Daniel Ashley,"Janeview, Afghanistan",10044
Audi A4,Germany,Hamburg,34318,7,240226,2024-12-24,CUST00067,Kristen Owens,45,Male,Kia,Hyundai Elantra,2006,Minivan,Cash,SP002,Steven Foster,"Bethanyville, Bouvet Island (Bouvetoya)",2601
Ford Focus,Germany,Frankfurt,59017,10,590170,2024-12-25,CUST00068,Gina Larson,44,Female,Kia,Hyundai Elantra,2014,Hatchback,Lease,SP029,Autumn Freeman,"East Ronaldchester, Trinidad and Tobago",7508
Mercedes C-Class,USA,Houston,60351,8,482808,2024-12-26,CUST00069,Austin Nelson,41,Non-binary,Nissan,Honda Civic,2021,Convertible,Lease,SP062,David Williams,"Fostershire, Central African Republic",10471
Ford Focus,UK,London,40739,5,203695,2024-12-27,CUST00070,Scott Landry,54,Non-binary,Nissan,BMW 3 Series,2013,Sedan,Cash,SP009,Carla Hernandez,"Margaretmouth, Kiribati",2798
Honda Civic,Japan,Nagoya,13901,1,13901,2024-12-28,CUST00071,Michelle Gallegos,34,Male,Mercedes,Audi A4,2012,Coupe,Lease,SP037,Carol Pruitt,"North Barbaraborough, Bouvet Island (Bouvetoya)",14955
Honda Civic,India,Mumbai,17421,9,156789,2024-12-29,CUST00072,Jeanette Lewis,74,Male,Honda,Hyundai Elantra,2003,Hatchback,Bank Transfer,SP012,Misty Kelly,"Warrenside, American Samoa",7401
Kia Optima,USA,Phoenix,21017,3,63051,2024-12-30,CUST00073,Daniel Cox,25,Female,BMW,Ford Focus,2016,SUV,Bank Transfer,SP093,Catherine Hamilton,"Rileyberg, Kenya",2328
Honda Civic,China,Shanghai,83455,10,834550,2024-12-31,CUST00074,Anthony Ryan,29,Non-binary,Kia,Nissan Altima,2022,Sedan,Credit Card,SP027,Monica Barnett,"Lynchberg, Turks and Caicos Islands",10591
Mercedes C-Class,China,Shanghai,47790,7,334530,2025-01-01,CUST00075,Frank Cox,63,Female,Kia,Audi A4,2023,Hatchback,Lease,SP008,Charles Key,"Andrewbury, Liechtenstein",2338
Chevrolet Malibu,Italy,Milan,97650,5,488250,2025-01-02,CUST00076,Sharon Price,29,Male,Audi,Mercedes C-Class,2009,Truck,Credit Card,SP040,Victoria Arnold,"Lake Emilymouth, Niger",6343
Chevrolet Malibu,France,Toulouse,85423,6,512538,2025-01-03,CUST00077,Brenda Curry,35,Non-binary,Nissan,BMW 3 Series,2000,Truck,Bank Transfer,SP092,Andrea Solomon,"Lewisberg, Georgia",8653
Hyundai Elantra,Canada,Montreal,54391,8,435128,2025-01-04,CUST00078,Andrew Baker,24,Male,Audi,Ford Focus,2009,SUV,Lease,SP086,Anthony Barry,"South Mary, Libyan Arab Jamahiriya",1875
Ford Focus,China,Shenzhen,62068,1,62068,2025-01-05,CUST00079,Holly Wong,50,Male,Ford,Ford Focus,2021,Minivan,Cash,SP038,Cody Benitez,"Rodriguezville, Angola",728
Nissan Altima,Canada,Toronto,85244,3,255732,2025-01-06,CUST00080,Kimberly Mitchell,67,Female,Nissan,Mercedes C-Class,2003,Coupe,Bank Transfer,SP068,Kayla Kirby,"Wilsonfort, Bulgaria",5039
BMW 3 Series,China,Chongqing,62679,9,564111,2025-01-07,CUST00081,Lisa Benitez,33,Female,Hyundai,Ford Focus,2016,Convertible,Credit Card,SP049,Lisa Smith MD,"North Brian, French Polynesia",2536
Nissan Altima,China,Shanghai,16749,1,16749,2025-01-08,CUST00082,Mary Russell,41,Non-binary,Nissan,Audi A4,2017,Coupe,Lease,SP058,Robert Boyd,"Lake Andreaton, Equatorial Guinea",2802
Nissan Altima,Italy,Rome,82275,9,740475,2025-01-09,CUST00083,Lauren Riley,18,Female,Toyota,Nissan Altima,2018,Truck,Lease,SP008,Patrick Graham,"Dustinland, Malaysia",9679
Mercedes C-Class,USA,Houston,58535,10,585350,2025-01-10,CUST00084,William Payne,44,Female,Mercedes,Nissan Altima,2001,Truck,Cash,SP015,Michelle Smith,"South Kellyland, United Arab Emirates",5781
Mercedes C-Class,Germany,Munich,55638,3,166914,2025-01-11,CUST00085,Natalie Brown,33,Non-binary,Audi,Nissan Altima,2006,Truck,Bank Transfer,SP084,Andrew Simmons,"Sarahstad, Malta",739
Mercedes C-Class,China,Shenzhen,48192,5,240960,2025-01-12,CUST00086,Jason Kelly,58,Non-binary,Ford,Hyundai Elantra,2016,Convertible,Credit Card,SP027,Regina Anderson,"South Matthewshire, Barbados",13424
Hyundai Elantra,France,Nice,64555,8,516440,2025-01-13,CUST00087,James Lawson,37,Male,Chevrolet,Chevrolet Malibu,2002,SUV,Lease,SP098,John Snyder,"New Donaldstad, Austria",13518
Honda Civic,France,Nice,24367,9,219303,2025-01-14,CUST00088,Shannon Olson,41,Female,BMW,Toyota Corolla,2019,Convertible,Cash,SP080,Alyssa Arnold,"Danielmouth, Serbia",9334
Mercedes C-Class,UK,Leeds,41190,1,41190,2025-01-15,CUST00089,Timothy Love,53,Non-binary,Mercedes,Chevrolet Malibu,2018,Coupe,Cash,SP077,Sylvia Salazar,"North Paulton, Tajikistan",4590
Chevrolet Malibu,Canada,Calgary,17888,9,160992,2025-01-16,CUST00090,Jeremy Cobb,28,Non-binary,Chevrolet,Audi A4,2004,Sedan,Lease,SP008,Christopher Morse,"North Ericfurt, China",2039
Nissan Altima,Canada,Calgary,79371,4,317484,2025-01-17,CUST00091,Glenda Reed,30,Female,Toyota,Nissan Altima,2017,Sedan,Credit Card,SP074,Albert Meyers,"Nelsonfurt, Guam",1540
Chevrolet Malibu,Australia,Adelaide,54934,1,54934,2025-01-18,CUST00092,Logan Jenkins,42,Male,Audi,Chevrolet Malibu,2016,Coupe,Bank Transfer,SP039,Travis Thompson,"South Lindachester, Namibia",8932
Ford Focus,Italy,Turin,98718,8,789744,2025-01-19,CUST00093,James Flores,51,Female,Mercedes,Ford Focus,2002,Hatchback,Cash,SP047,Michael Guerrero,"Jesseville, Panama",10204
Audi A4,UK,London,35457,4,141828,2025-01-20,CUST00094,Donna Saunders,20,Non-binary,Mercedes,Chevrolet Malibu,2020,Minivan,Lease,SP051,Catherine Robertson,"East Tyrone, Cambodia",2903
Audi A4,Germany,Munich,75508,3,226524,2025-01-21,CUST00095,Lawrence Lopez,50,Male,BMW,Ford Focus,2019,Coupe,Bank Transfer,SP048,William Gonzalez,"West Erinmouth, India",13598
Mercedes C-Class,Germany,Frankfurt,32702,5,163510,2025-01-22,CUST00096,Danielle Jones,44,Male,Nissan,Ford Focus,2021,Truck,Lease,SP036,Jennifer Davis,"South Amymouth, Azerbaijan",8592
BMW 3 Series,Italy,Rome,98352,6,590112,2025-01-23,CUST00097,Brandon Freeman,52,Female,Honda,Audi A4,2019,Sedan,Cash,SP047,Ricky Gutierrez,"Austinton, Mauritius",4716
Toyota Corolla,Germany,Munich,49702,4,198808,2025-01-24,CUST00098,Paul Wilson,67,Male,Audi,Hyundai Elantra,2011,Coupe,Bank Transfer,SP004,Danielle Vasquez,"Jamesport, Czech Republic",8528
Audi A4,UK,Birmingham,79825,8,638600,2025-01-25,CUST00099,Amy Mendoza,22,Male,Kia,Chevrolet Malibu,2010,Coupe,Cash,SP017,Timothy Ramos,"Port Joshua, Indonesia",8493
Honda Civic,India,Bangalore,25408,3,76224,2025-01-26,CUST00100,Michael Wise,52,Male,Mercedes,Nissan Altima,2007,Hatchback,Bank Transfer,SP033,Amber Burns,"New Tracychester, Holy See (Vatican City State)",7805
Kia Optima,UK,Manchester,17023,2,34046,2025-01-27,CUST00101,Sonya Mclaughlin,38,Non-binary,Kia,Nissan Altima,2011,Minivan,Cash,SP010,Jessica White,"East Patriciaview, Turks and Caicos Islands",8485
Honda Civic,France,Marseille,18513,1,18513,2025-01-28,CUST00102,Richard Mann,75,Male,Ford,Kia Optima,2020,Hatchback,Cash,SP082,Kyle Brown,"Bradleymouth, Puerto Rico",774
Mercedes C-Class,Italy,Naples,92326,9,830934,2025-01-29,CUST00103,Virginia Wilson,30,Non-binary,Chevrolet,Nissan Altima,2004,Truck,Lease,SP055,David Fuller,"Lake Aaron, Malta",6701
Nissan Altima,France,Paris,22612,9,203508,2025-01-30,CUST00104,Eric Edwards,35,Non-binary,Chevrolet,Honda Civic,2021,SUV,Cash,SP072,Brandon Charles,"North Richard, French Guiana",14266
Honda Civic,Australia,Melbourne,50896,1,50896,2025-01-31,CUST00105,Robert Martinez,59,Male,Hyundai,Hyundai Elantra,2011,Minivan,Credit Card,SP051,Benjamin Anderson,"Timothyland, Macao",8864
Mercedes C-Class,France,Toulouse,10799,6,64794,2025-02-01,CUST00106,Angela Gilbert,72,Male,Mercedes,Nissan Altima,2001,Minivan,Bank Transfer,SP052,Larry Gaines,"East David, Vanuatu",6172
BMW 3 Series,China,Guangzhou,70264,2,140528,2025-02-02,CUST00107,Monica Lee,69,Female,Toyota,Ford Focus,2008,SUV,Credit Card,SP056,Robert Brooks,"Johnstonton, Nicaragua",10909
Nissan Altima,USA,Los Angeles,29860,8,238880,2025-02-03,CUST00108,Kristin Collins,49,Female,Audi,Nissan Altima,2004,Coupe,Lease,SP039,Heather Palmer,"Lake Joseland, Macao",1534
Ford Focus,USA,New York,10159,4,40636,2025-02-04,CUST00109,Lauren Hall,71,Male,Honda,Toyota Corolla,2008,Minivan,Lease,SP029,Frank Rivera,"Michaelmouth, Tunisia",8067
Mercedes C-Class,India,Mumbai,86096,3,258288,2025-02-05,CUST00110,Kelly Singh,27,Female,Kia,Chevrolet Malibu,2003,SUV,Credit Card,SP068,Kelly Cook,"Cynthiabury, El Salvador",2523
BMW 3 Series,Germany,Frankfurt,33482,8,267856,2025-02-06,CUST00111,Jennifer Crawford,67,Male,Ford,Mercedes C-Class,2013,SUV,Cash,SP041,Nancy Collins,"Lake Kimberlyville, Guinea",5466
Hyundai Elantra,China,Guangzhou,58153,6,348918,2025-02-07,CUST00112,Renee Camacho,62,Female,Chevrolet,Kia Optima,2012,Hatchback,Credit Card,SP062,Maria Ramsey,"Isaiahburgh, Kiribati",13972
Kia Optima,Germany,Munich,44799,4,179196,2025-02-08,CUST00113,Marie Gross,49,Non-binary,Audi,Chevrolet Malibu,2015,SUV,Cash,SP080,Jamie Calderon,"West Larry, Mozambique",4439
Toyota Corolla,Canada,Vancouver,58271,5,291355,2025-02-09,CUST00114,Alexandra Shaffer,49,Male,Nissan,BMW 3 Series,2008,Convertible,Bank Transfer,SP100,Sandra Gibson MD,"Greenebury, Netherlands",8593
Honda Civic,USA,Phoenix,22042,8,176336,2025-02-10,CUST00115,Luis Brown,58,Male,Chevrolet,Audi A4,2005,Convertible,Credit Card,SP052,Brooke Shepard,"West Kevin, Finland",12933
Toyota Corolla,Canada,Montreal,33582,9,302238,2025-02-11,CUST00116,Larry Lopez,27,Non-binary,Hyundai,Honda Civic,2018,Convertible,Credit Card,SP099,Taylor Mccoy,"Port Lisaland, Congo",13890
Audi A4,UK,Leeds,29265,10,292650,2025-02-12,CUST00117,Linda Elliott,43,Male,Honda,BMW 3 Series,2018,Coupe,Credit Card,SP011,Jacqueline Williams,"Port Steven, Uganda",4756
Honda Civic,Australia,Adelaide,63162,2,126324,2025-02-13,CUST00118,Richard Blackwell,20,Non-binary,Toyota,Mercedes C-Class,2008,Truck,Lease,SP079,Jasmin Norris,"Riveraville, Peru",7753
Kia Optima,India,Bangalore,66661,8,533288,2025-02-14,CUST00119,Olivia Griffith,27,Non-binary,Kia,Nissan Altima,2007,Hatchback,Lease,SP079,Dr. Krystal Williams,"Patriciaside, Norfolk Island",4660
Ford Focus,USA,Phoenix,13386,7,93702,2025-02-15,CUST00120,Joseph Hansen,27,Female,Audi,Nissan Altima,2001,Minivan,Bank Transfer,SP014,Keith Edwards PhD,"Davisport, Bhutan",750
Kia Optima,Germany,Cologne,50185,1,50185,2025-02-16,CUST00121,Lauren Meyer,53,Female,Nissan,Chevrolet Malibu,2015,Minivan,Lease,SP002,Derek Mills Jr.,"Scottfurt, Holy See (Vatican City State)",2055
Ford Focus,USA,Houston,96178,10,961780,2025-02-17,CUST00122,James Hughes,38,Non-binary,Honda,BMW 3 Series,2010,Convertible,Bank Transfer,SP033,Charles Carr,"Janetburgh, Korea",9497
Toyota Corolla,Australia,Melbourne,32064,7,224448,2025-02-18,CUST00123,Brian Stevens,38,Female,Audi,Ford Focus,2011,Truck,Lease,SP048,Miss Theresa Rodriguez,"Amandachester, Saint Helena",11140
Nissan Altima,Canada,Toronto,54045,10,540450,2025-02-19,CUST00124,William Johnson,22,Male,BMW,Chevrolet Malibu,2015,Convertible,Cash,SP096,Anthony Cunningham,"Hahnfort, French Polynesia",5137
Hyundai Elantra,France,Nice,73068,6,438408,2025-02-20,CUST00125,Philip Baker,38,Male,Chevrolet,Kia Optima,2015,Sedan,Credit Card,SP087,William Herring,"East Danborough, Tuvalu",8533
BMW 3 Series,France,Toulouse,53608,7,375256,2025-02-21,CUST00126,Lisa Taylor,26,Female,Kia,Toyota Corolla,2005,Coupe,Credit Card,SP040,Justin Allen,"Lake Devinport, Timor-Leste",5417
